,Protein,theta,sigma2,alpha,beta,pvalue,Expression_divergence
22827,XP_036833764.1,6.917758591,0.014943724,0.969134451,20.08382327,0.965556646,0.015222243
22828,XP_036833771.1,6.580604646,0.003418222,0.813825826,99,0.346400618,0.460421342
22829,XP_036833779.1,7.919832874,0.010391718,1.578464307,99,0.582367685,0.234802732
22830,XP_036833788.1,9.231480141,0.009729621,0.971711211,19.55216434,0.955763049,0.019649764
22831,XP_036833797.1,7.973872165,0.004477441,0.759001791,99,0.33923452,0.469499961
22832,XP_036833805.1,7.502417338,0.00582188,1.03419244,25.51776252,0.949347737,0.022574681
22833,XP_036833811.1,6.899394158,0.002159539,0.632823059,99,0.32583131,0.487007186
22834,XP_036833812.1,6.749534625,0.008676333,1.325053997,49.19685991,0.786613425,0.104238646
22835,XP_036833823.1,5.837796366,0.006443413,1.21518534,99,0.427168494,0.369400786
22836,XP_036833837.1,7.632501941,0.005287078,1.53369354,99,0.565905607,0.247256003
22837,XP_036833841.1,8.251114408,0.001801047,1.494623329,99,0.518586565,0.285178739
22838,XP_036833845.1,7.799330401,0.011038522,0.889435332,14.30992988,0.822206099,0.085019306
22839,XP_036833849.1,11.6566679,0.009067674,1.527983125,99,0.536779802,0.270203834
22840,XP_036833852.1,8.623287476,0.002977954,1.23601903,99,0.441737975,0.354835264
22841,XP_036833867.1,6.531502792,0.003942479,1.540228532,99,0.555404382,0.255390698
22842,XP_036833872.1,6.927841251,0.072374111,0.647933249,1.732078351,0.009272372,2.032809153
22843,XP_036833873.1,6.922084577,0.016928453,0.919532832,17.46803315,0.908026189,0.041901626
22844,XP_036833874.1,6.00299442,0.042997785,0.688956,3.735605036,0.141746252,0.848488416
22845,XP_036833875.1,5.674476509,0.004955525,1.467434744,99,0.494203065,0.306094565
22846,XP_036833891.1,17.75080961,0.003291389,1.020964082,99,0.377739819,0.422807232
22847,XP_036833895.1,10.89459126,0.018945013,0.939960462,18.99057822,0.942717096,0.025618617
22848,XP_036833899.1,9.191919289,0.05486593,0.807931632,9.572580885,0.61702411,0.209697866
22849,XP_036833903.1,5.587458817,0.003601631,1.303348005,99,0.44663484,0.350047403
22850,XP_036833905.1,6.276876112,0.001927087,1.042922084,99,0.385214414,0.414297471
22851,XP_036833909.1,6.710888093,0.049674464,0.763109,7.521737876,0.477666001,0.32087567
22852,XP_036833917.1,8.538338216,0.012310461,1.742987675,99,0.644340691,0.190884441
22853,XP_036833918.1,7.5506755,0.00449602,0.978103129,99,0.369046281,0.432919167
22854,XP_036833946.1,6.91959383,0.008416714,1.592049763,73.91321308,0.728497582,0.137571885
22855,XP_036833947.1,7.533293654,0.05287181,0.728426527,5.669880341,0.325383285,0.487604761
22856,XP_036833951.1,6.45659619,0.033655035,0.798870828,9.98563406,0.630044465,0.200628799
22857,XP_036833953.1,7.142740502,0.024183491,0.905868878,16.0160208,0.871358653,0.059803052
22858,XP_036833954.1,6.221330126,0.025080177,0.844322575,11.64763872,0.72124565,0.141916793
22859,XP_036833957.1,8.458890215,0.004051296,0.82850704,99,0.34673711,0.459999675
22860,XP_036833967.1,6.073390867,0.004024557,1.206046859,99,0.432063429,0.364452492
22861,XP_036833969.1,6.865057224,0.005496307,1.203463109,99,0.415168649,0.381775449
22862,XP_036833973.1,7.226948321,0.007827401,1.2494466,43.90638592,0.806021705,0.093653263
22863,XP_036833976.1,7.118204131,0.028155671,0.940332515,18.32976509,0.92905191,0.031960019
22864,XP_036833981.1,7.738320187,0.002974656,0.430202092,99,0.309759993,0.508974674
22865,XP_036833985.1,7.150279087,0.026632956,0.765865303,8.479971469,0.533440756,0.272913806
22866,XP_036833989.1,6.132839487,0.136897246,0.661020594,2.510504369,0.041266315,1.384404311
22867,XP_036833990.1,8.2774946,0.000407252,0.312343411,99,0.300923041,0.521544558
22868,XP_036833997.1,9.029050962,0.054076603,0.727952386,5.645727596,0.323188018,0.490544749
22869,XP_036833998.1,6.74153264,0.016992911,1.009874029,24.31912637,0.965015069,0.015465905
22870,XP_036834004.1,7.475330851,0.002496521,0.834968124,99,0.349776768,0.45620904
22871,XP_036834006.1,7.446051794,0.026659784,1.024459628,24.45345114,0.963627494,0.016090817
22872,XP_036834008.1,7.275476643,0.011369957,1.432448412,58.20247713,0.760382142,0.118968091
22873,XP_036834010.1,6.992710785,0.00498085,1.02385835,99,0.387740992,0.411458283
22874,XP_036834015.1,7.361930787,0.325956018,0.65358685,2.105898457,0.02107536,1.676224998
22875,XP_036834016.1,10.86139103,0.332345535,0.71321347,4.891211907,0.253034327,0.596820558
22876,XP_036834021.1,9.684259974,0.007026236,1.388307772,60.977423,0.741984839,0.129604969
22877,XP_036834025.1,7.400048469,0.091268868,0.756025581,6.8144117,0.429359585,0.367178837
22878,XP_036834027.1,7.069581867,0.00196765,0.568433963,99,0.322848049,0.491001834
22879,XP_036834031.1,8.134750552,0.110142423,0.68963366,3.755256189,0.143906148,0.841920652
22880,XP_036834041.1,9.066021523,0.01941728,0.946666953,17.8691968,0.919904926,0.036257056
22881,XP_036834046.1,7.954402368,0.007783289,1.782212114,99,0.679549734,0.167778753
22882,XP_036834051.1,5.486056684,0.006982248,1.128872672,99,0.411746348,0.385370244
22883,XP_036834055.1,8.566083718,0.003710536,1.323167967,99,0.470835637,0.327130673
22884,XP_036834059.1,5.412817632,0.005432689,0.71389873,99,0.33693468,0.472454286
22885,XP_036834071.1,5.697522511,0.006165911,1.482871843,99,0.499910632,0.301107627
22886,XP_036834074.1,6.168221267,0.0008465,0.447012608,99,0.312539708,0.505094798
22887,XP_036834100.1,8.48001003,0.005367195,1.303876126,99,0.456022505,0.341013724
22888,XP_036834107.1,8.538673075,0.007377372,0.872388759,15.59112455,0.854311398,0.068383799
22889,XP_036834114.1,7.604722264,0.001914818,1.014679267,99,0.386314181,0.413059349
22890,XP_036834134.1,5.680893267,0.035044656,0.733746083,6.365718164,0.377645501,0.422915685
22891,XP_036834136.1,9.348766235,0.00804885,1.010266205,99,0.381451667,0.418560483
22892,XP_036834139.1,6.781994505,0.003364698,1.404689789,99,0.48640897,0.312998425
22893,XP_036834144.1,6.860524855,0.003133354,1.0640278,99,0.390940882,0.407888912
22894,XP_036834145.1,7.091804812,0.009410345,0.849383637,13.84360885,0.797594971,0.098217593
