,Protein,theta,sigma2,alpha,beta,pvalue,Expression_divergence
10746,XP_021466690.2,7.790388187,0.005357975,0.835052003,99,0.35468293,0.450159713
10747,XP_021466692.1,10.71985017,0.272128055,0.674217542,2.845779947,0.070137994,1.154046659
10748,XP_021466694.2,6.589355577,0.003233747,0.703482269,99,0.336885272,0.472517975
10749,XP_021466703.1,5.648360568,0.004709712,1.258415222,99,0.431949732,0.364566791
10750,XP_021466704.2,7.643206837,0.007339666,1.521843769,99,0.527856445,0.277484171
10751,XP_021466705.2,6.138759118,0.003653475,0.999786685,99,0.373487821,0.427723555
10752,XP_021466716.2,8.46446382,0.024208419,0.703164113,4.583441628,0.218553937,0.660441366
10753,XP_021466721.2,7.593367536,0.005324071,1.365210668,99,0.486828676,0.312623848
10754,XP_021466722.2,7.541906511,0.00756966,1.207296752,99,0.416824251,0.380047022
10755,XP_021466726.2,7.876715743,0.00020663,0.391963454,99,0.304687278,0.516145679
10756,XP_021466729.1,6.705564503,0.027007911,0.81399446,11.23783895,0.691506431,0.160203777
10757,XP_021466732.2,10.112487,0.003921586,1.20807022,37.89918453,0.84194585,0.074715839
10758,XP_021466739.2,5.531365464,0.07067742,0.720743055,5.410088632,0.298425237,0.525164453
10759,XP_021466742.2,7.73010643,0.002084265,1.362894307,99,0.458559563,0.338604245
10760,XP_021466747.1,10.93641373,0.019559133,0.93180133,19.60579567,0.954640108,0.020160323
10761,XP_021466760.1,9.1218314,0.005271153,1.004797718,25.59157268,0.946852933,0.023717471
10762,XP_021466765.2,8.325768443,0.101703636,0.68379221,3.192293199,0.100944016,0.995919421
10763,XP_021466766.2,6.391614272,0.002909359,0.88383127,99,0.354186799,0.45076763
10764,XP_021466788.2,6.378839372,0.089691983,0.762762097,8.201505812,0.515753815,0.287557551
10765,XP_021466794.1,8.557471058,0.023143145,0.74677031,6.788391799,0.418142917,0.378675255
10766,XP_021466803.1,6.271304504,0.069527723,0.867715634,14.99347147,0.836652956,0.07745465
10767,XP_021466807.1,7.220974018,0.027227346,0.845512141,12.24153783,0.742649293,0.129216228
10768,XP_021466815.2,6.123844735,0.002367676,0.872312071,99,0.360417093,0.443194621
10769,XP_021466823.1,8.192506752,0.008407916,1.401172225,99,0.471073997,0.326910868
10770,XP_021466832.2,6.71981029,0.009269066,1.601089147,99,0.552277912,0.257842326
10771,XP_021466849.1,7.889755397,0.004711039,0.738350662,99,0.340140053,0.468342225
10772,XP_021466854.1,6.809457833,0.007250866,1.784931236,99,0.684043762,0.164916113
10773,XP_021466888.2,6.566849444,0.031921209,0.833680604,12.61410035,0.751469979,0.124088365
10774,XP_021466890.1,5.746691086,0.003240544,0.848818731,99,0.356761089,0.447622519
10775,XP_021466891.1,5.565163523,0.005770179,1.077242677,99,0.390420725,0.408467136
10776,XP_021466905.1,7.368694824,0.008676477,1.352542344,99,0.46289917,0.334513598
10777,XP_021466909.2,10.02112341,0.048565447,0.662764131,2.212758654,0.030926052,1.509675518
10778,XP_021466911.1,7.326812661,0.021671605,1.200875472,42.99076925,0.805097331,0.094151613
10779,XP_021466914.1,7.426604006,0.018463934,1.044863471,25.77198393,0.946495016,0.023881669
10780,XP_021466915.1,9.162903024,0.0018696,0.730950778,99,0.340461985,0.467931373
10781,XP_021466925.1,6.535736374,0.011895177,1.109412992,34.46371703,0.858102004,0.066461084
10782,XP_021466931.2,6.097529132,0.040096735,0.778524951,9.02174475,0.570947056,0.243404162
10783,XP_021466957.2,12.409704,0.001781812,0.947818613,99,0.363673271,0.439288617
10784,XP_021466971.2,7.342302562,0.005192963,0.996632029,99,0.376926192,0.423743683
10785,XP_021466996.1,7.192776,0.002555767,0.530281569,99,0.317466628,0.498301921
10786,XP_021467006.2,6.382718013,0.019844269,0.775772532,8.754099886,0.555246411,0.25551424
10787,XP_021467008.2,7.493249132,0.003259977,1.755879538,99,0.653515491,0.184744113
10788,XP_021467043.2,7.701042082,0.065217605,0.783683179,9.674095127,0.606520958,0.217154188
10789,XP_021467044.1,9.187082723,0.004223313,1.481439968,66.81750694,0.734507426,0.134003809
10790,XP_021467052.2,5.782365168,0.001447112,0.63848422,99,0.328571507,0.4833701
10791,XP_021467054.1,7.306446427,0.005393096,1.273908007,99,0.430897109,0.36562642
10792,XP_021467061.2,5.6036546,0.002872052,1.211571452,99,0.414914757,0.382041119
10793,XP_021467065.1,9.771835284,0.05382938,0.685723641,3.855584952,0.145816245,0.83619409
10794,XP_021467066.2,7.787970815,0.00736422,0.581200692,99,0.32319047,0.490541454
10795,XP_021467071.2,6.173774917,0.004714897,1.671306376,99,0.642045671,0.192434078
10796,XP_021467082.2,7.290589212,0.004002251,0.910403317,99,0.358396419,0.445636338
10797,XP_021467097.1,8.626191956,0.004249986,1.32938292,99,0.452510809,0.344371042
10798,XP_021467102.2,7.293970372,0.022480709,0.879264867,14.18389565,0.815900455,0.088362825
10799,XP_021467105.1,6.618345321,0.00281484,0.918595871,99,0.359220362,0.444639054
10800,XP_021467106.2,8.327372913,0.002924006,1.458575284,99,0.51382774,0.289182453
10801,XP_021467116.2,6.904384021,0.02581536,0.915874148,16.00454942,0.872820179,0.059075222
10802,XP_021467122.1,5.916007926,0.01987807,1.247717418,42.20834071,0.816736733,0.087917911
10803,XP_021467125.2,7.2266304,0.106952323,0.791133555,9.159111797,0.586384769,0.231817319
10804,XP_021467133.1,8.560007821,0.115876675,0.72528656,5.859510209,0.334539198,0.475552989
10805,XP_021467134.1,5.543249497,0.012671122,1.566100506,99,0.575745807,0.239769216
10806,XP_021467136.2,6.449214511,0.001794818,0.499252983,99,0.317254411,0.498592331
10807,XP_021467137.2,6.950269397,0.065497152,0.741650382,6.078547501,0.367866753,0.434309461
10808,XP_021467148.1,6.988591158,0.003299489,1.127342709,99,0.397473146,0.400692208
10809,XP_021467154.2,6.29617581,0.012920757,1.679548224,94.114314,0.688376167,0.162174174
10810,XP_021467162.1,6.525793162,0.005258083,1.013250065,99,0.377845732,0.422685479
10811,XP_021467169.1,9.445481632,0.025199815,0.733387992,5.683799195,0.332361949,0.478388703
10812,XP_021467171.2,6.560403624,0.004590312,0.639403111,99,0.328678417,0.483228813
10813,XP_021467172.2,7.024664277,0.053777796,0.745746734,7.029655816,0.432103746,0.364411969
10814,XP_021467192.2,8.976242471,0.004669646,1.450469522,99,0.506277765,0.295611146
10815,XP_021467195.1,6.458081455,0.043705034,0.778704082,8.280959378,0.532776038,0.273455316
10816,XP_021467202.2,6.178180048,0.02092843,0.631855116,99,0.329337261,0.482359131
10817,XP_021467205.1,9.03261682,0.047189413,1.148938012,36.07802297,0.848858833,0.071164528
10818,XP_021467207.2,7.223936372,0.003415113,0.929526235,99,0.369578689,0.432293079
10819,XP_021467219.1,8.588606899,0.067356861,0.882094022,14.17091408,0.816263282,0.088169739
10820,XP_021467227.2,6.018660786,0.011352545,0.981098552,23.63148147,0.974402319,0.011261691
10821,XP_021467239.1,5.882179629,0.009092443,1.477300016,99,0.534878824,0.271744596
10822,XP_021467249.2,6.102864,0.005052712,1.336655386,99,0.474593677,0.323678052
10823,XP_021467251.1,7.06689089,0.016248418,0.870940962,13.73636829,0.800224095,0.096788376
10824,XP_021467252.2,6.608928112,0.019276434,1.046670538,25.06173943,0.956129602,0.019483236
10825,XP_021467253.1,7.091477775,0.04779687,0.715393469,5.038425068,0.266052781,0.575032197
10826,XP_021467256.2,9.377643601,0.00117708,0.532501781,99,0.319277693,0.495831423
10827,XP_021467269.1,7.333986564,0.007128507,1.415577931,99,0.480853294,0.317987405
10828,XP_021467277.2,6.370279645,0.01643867,1.083450123,30.60713152,0.89259304,0.049346504
10829,XP_021467280.1,8.384961109,0.017648566,1.130492225,31.14788043,0.891761088,0.049751482
10830,XP_021467282.2,7.377176767,0.14525732,0.659876609,2.103651222,0.025066864,1.600899995
10831,XP_021467283.1,6.551003332,0.008267208,1.774502501,98.34583832,0.693147585,0.159174286
10832,XP_021467286.1,8.6698811,0.007431863,1.140093657,99,0.400021767,0.397916376
10833,XP_021467291.1,9.909165904,0.019471801,0.823004542,10.71166703,0.674569232,0.170973471
10834,XP_021467296.1,6.077506746,0.062851328,0.720730258,5.525529782,0.306371169,0.513752106
10835,XP_021467297.1,8.761477968,0.043950677,1.715830186,99,0.666094258,0.17646431
10836,XP_021467302.2,7.68084525,0.023954363,0.850666698,12.18193629,0.742593738,0.129248717
10837,XP_021467309.1,6.198080515,0.006327987,1.331415828,53.68109254,0.764983603,0.116347874
10838,XP_021467313.2,6.447963672,0.024917639,0.791838525,8.711164932,0.565062855,0.247903241
10839,XP_021467314.1,8.750917232,0.004413078,0.544114993,99,0.319449953,0.495597171
10840,XP_021467322.2,8.274299873,0.039319166,0.771313435,8.805052946,0.554743185,0.255908024
10841,XP_021467326.1,7.163175761,0.033692297,0.665738742,2.38437668,0.03998698,1.398081395
10842,XP_021467329.1,8.154879529,0.015636727,0.762224134,7.644136615,0.48385396,0.3152857
10843,XP_021467331.2,5.898678571,0.00597262,1.274792824,99,0.437517529,0.359004542
10844,XP_021467332.2,7.116163153,0.007983756,1.725065822,99,0.627876393,0.202125845
10845,XP_021467338.2,7.995374512,0.091758286,0.656841065,2.190461721,0.025821796,1.588013554
10846,XP_021467344.1,9.76146611,0.002290423,1.462924834,99,0.506238595,0.295644748
10847,XP_021467376.2,6.561263503,0.003228748,1.72814154,99,0.657469687,0.182124266
10848,XP_021467391.2,6.585245789,0.006369555,0.554009372,99,0.319364207,0.495713759
10849,XP_021467401.2,6.330765629,0.027900763,0.761114998,7.137983417,0.453642398,0.343286362
10850,XP_021467404.1,6.658127742,0.019834379,0.804826773,11.02167511,0.678371616,0.168532332
10851,XP_021467405.1,8.193843818,0.119269022,0.695336631,4.023624467,0.169412418,0.771054759
10852,XP_021467409.2,9.174381876,0.015237249,0.9992017,24.98357782,0.955073054,0.019963408
10853,XP_021467410.1,5.700776177,0.005615428,1.116405114,99,0.409156169,0.388110896
10854,XP_021467414.2,5.82737299,0.002287449,0.906732127,99,0.362709983,0.440440491
10855,XP_021467420.2,6.556097721,0.00763727,1.55379984,80.95407852,0.70207052,0.153619263
10856,XP_021467424.2,8.134529893,0.004112751,1.572411735,84.68597393,0.695138933,0.157928387
10857,XP_021467426.1,8.084576101,0.013681504,1.143178846,32.00756669,0.884662753,0.053222257
10858,XP_021467427.2,7.609189878,0.005027082,1.11552566,99,0.399024662,0.399000262
10859,XP_021467428.1,5.23434084,0.009630605,1.045693158,99,0.387908957,0.411270192
10860,XP_021467430.1,7.898522753,0.004215412,1.78990151,99,0.684029707,0.164925037
10861,XP_021467431.2,5.693013127,0.00452486,1.69102747,99,0.604165064,0.218844392
10862,XP_021467432.1,8.277371928,0.045982448,0.827316607,11.02277943,0.68921291,0.161646596
10863,XP_021467433.2,6.131406928,0.028254042,0.829761354,11.05619325,0.691721846,0.160068508
10864,XP_021467435.1,5.26770299,0.033428518,1.088047888,27.7143947,0.925225758,0.033752285
10865,XP_021467439.1,7.692934167,0.031631119,0.676669204,3.054518978,0.0843384,1.073974642
10866,XP_021467440.1,9.023332711,0.01302333,1.140066816,34.61639507,0.860247257,0.065376704
10867,XP_021467441.2,7.792386416,0.085243138,0.774420157,9.058811906,0.570061004,0.244078667
10868,XP_021467443.1,6.431026489,0.001377537,0.307523528,99,0.301893369,0.520146426
10869,XP_021467449.1,6.798508659,0.001381297,0.954509458,99,0.364619947,0.438159576
10870,XP_021467452.1,7.082006148,0.002567633,0.429002517,99,0.309636453,0.509147916
10871,XP_021467453.1,11.19368008,0.002575496,1.102153579,99,0.391588217,0.407170385
10872,XP_021467454.1,7.116333356,0.066412776,0.799458303,9.074829386,0.58827235,0.230421564
10873,XP_021467456.1,7.27695645,0.006112887,1.71222459,99,0.624429607,0.204516513
10874,XP_021467460.2,5.976658286,0.004260296,1.073281777,99,0.398483666,0.399589476
10875,XP_021467461.2,6.358036785,0.003354924,1.112619635,99,0.396283195,0.401994344
10876,XP_021467464.2,9.296882249,0.001178519,1.393703697,99,0.485280619,0.314007053
10877,XP_021467467.2,5.747287677,0.00639563,1.185399113,99,0.426830755,0.369744295
10878,XP_021467468.1,7.329948051,0.02910335,0.793696511,9.385190684,0.59896431,0.222599055
10879,XP_021467469.1,9.209558057,0.068248635,0.679881247,3.444842286,0.11165964,0.952103777
10880,XP_021467472.1,12.31894239,0.006958547,1.214129305,99,0.4241941,0.372435376
10881,XP_021467473.2,5.777582656,0.002554489,0.674297152,99,0.333865563,0.476428375
10882,XP_021467475.2,8.800987044,0.053699696,0.650930362,1.956647384,0.015477881,1.810288497
10883,XP_021467512.1,6.887429437,0.048082039,0.722399822,5.473559647,0.304794569,0.515992776
10884,XP_021467517.1,9.313664672,0.107934819,0.737923395,5.921410187,0.353345991,0.451799832
10885,XP_021467523.2,6.490391487,0.010285831,1.647077433,99,0.581832072,0.235202343
10886,XP_021467524.2,5.961544252,0.005815473,1.357503867,99,0.455740765,0.341282123
10887,XP_021467525.1,7.704944982,0.037078801,0.748802923,7.205474541,0.445758486,0.35090038
10888,XP_021467578.2,6.345973499,0.009965416,1.582412762,99,0.592353604,0.227418965
10889,XP_021467582.2,6.244844957,0.009120575,1.767038707,99,0.665196363,0.177050134
10890,XP_021467585.1,8.196013854,0.056791867,0.813334403,10.56148847,0.663165133,0.178378316
10891,XP_021467587.1,9.445482047,0.006453398,1.237873369,99,0.425432991,0.371168835
10892,XP_021467596.1,6.868852586,0.006942456,1.365501498,54.469506,0.766379175,0.115556305
10893,XP_021467598.2,5.636212443,0.005297354,1.718377015,99,0.673272953,0.171808832
10894,XP_021467601.2,7.061267256,0.01386234,1.530182056,67.548386,0.739760519,0.130908851
10895,XP_021467602.1,13.22353809,0.009492145,1.56952602,99,0.561428696,0.250705393
10896,XP_021467606.1,7.352245592,0.017088576,0.896401658,17.25824693,0.900475092,0.045528296
10897,XP_021467610.1,5.78512741,0.00476824,1.482568747,99,0.533316451,0.27301502
10898,XP_021467621.2,9.053860408,0.015593944,1.178439953,39.00953251,0.829622465,0.081119496
10899,XP_021467623.2,6.097753833,0.017223379,0.862609054,13.10695776,0.77791636,0.109067095
10900,XP_021467628.2,7.849103343,0.002219707,1.412594231,99,0.48651029,0.31290797
10901,XP_021467629.2,6.748749327,0.005718828,1.428817317,59.33405636,0.754969277,0.122070721
10902,XP_021467634.2,7.802221718,0.010147804,1.036512049,24.16721078,0.968149977,0.014057361
10903,XP_021467635.1,7.942935658,0.002423461,1.210357244,99,0.414853115,0.382105645
10904,XP_021467636.2,7.841650537,0.00454687,1.205997721,43.04701274,0.805426683,0.093973987
10905,XP_021467639.1,6.972566783,0.005425353,0.9045965,99,0.365726729,0.436843298
10906,XP_021467640.1,8.424264729,0.001833376,1.01379584,99,0.379385887,0.420918829
10907,XP_021467642.1,6.813199701,0.002159071,0.421179122,99,0.308302718,0.511022647
10908,XP_021467645.1,9.04134808,0.007716303,0.433723827,99,0.311779613,0.506152286
10909,XP_021467646.2,6.189156471,0.066127363,0.872531138,14.88295284,0.834515931,0.078565368
10910,XP_021467647.2,7.556226821,0.139112163,0.877539616,15.47454126,0.852012937,0.069553811
10911,XP_021467648.1,5.857392532,0.018366434,1.015660979,24.09481275,0.968476974,0.0139107
10912,XP_021467653.1,6.626482831,0.082565829,0.723610135,5.123344591,0.282492518,0.54899305
10913,XP_021467656.2,6.876445032,0.038775856,0.794893879,10.38747441,0.645954131,0.18979832
10914,XP_021467661.2,7.947232908,0.011102352,1.070130677,29.27935008,0.905813913,0.042961013
10915,XP_021467663.2,8.249538076,0.010712824,1.209200901,99,0.429366063,0.367172285
10916,XP_021467667.2,7.111351603,0.005987678,1.370375604,60.69372917,0.740541078,0.130450846
10917,XP_021467670.1,6.791267936,0.009907693,1.182665237,35.50103457,0.857904356,0.066561127
10918,XP_021467676.1,9.122610843,0.045641988,1.79124587,99,0.681948006,0.166248736
10919,XP_021467681.2,6.236367103,0.035557198,0.701537096,4.363763526,0.200972637,0.696863069
10920,XP_021467684.2,6.785060937,0.018586565,1.505041259,99,0.538604848,0.268729742
10921,XP_021467687.1,7.329851439,0.017466283,1.052385243,28.66540817,0.911240429,0.04036702
10922,XP_021467691.2,6.837531254,0.004434729,1.384313195,99,0.466065713,0.331552846
10923,XP_021467696.1,9.954086726,0.206278526,0.65198422,1.820501953,0.012764061,1.894011129
10924,XP_021467699.2,5.827220061,0.002968199,1.199330588,99,0.426708178,0.369869034
10925,XP_021467708.2,7.803426715,0.005469841,0.955036999,19.14853056,0.946895387,0.023697999
10926,XP_021467716.2,5.824444471,0.006048767,1.31342178,99,0.466921155,0.330756449
10927,XP_021467719.1,8.205956359,0.037329524,0.723348002,5.577373216,0.313039711,0.504400566
10928,XP_021467720.1,10.68385602,0.045011896,0.701508302,4.619499196,0.2190344,0.659487673
10929,XP_021467727.2,8.612525566,0.018651347,1.141495358,31.84343781,0.886062713,0.052535539
10930,XP_021467734.2,8.104862933,0.064905865,0.8777472,13.57597252,0.797366302,0.098342122
10931,XP_021467741.2,8.272727382,0.02443084,0.868172047,13.48037539,0.791536604,0.101528997
10932,XP_021467760.2,7.438271464,0.00874014,1.730991163,99,0.656806851,0.182562326
10933,XP_021467776.1,5.887739269,0.004008051,0.873567917,99,0.360518701,0.443072202
10934,XP_021467780.2,14.12785919,0.009131968,1.054502102,29.76090447,0.899100193,0.046191909
10935,XP_021467782.1,7.327246065,0.021915731,1.018123862,22.66621747,0.990019702,0.004356163
10936,XP_021467783.1,8.64582761,0.02688342,0.843850377,11.62856084,0.720007478,0.142662993
10937,XP_021467787.2,6.194867827,0.007138329,1.45978642,99,0.528417319,0.277022957
10938,XP_021467790.1,6.259409595,0.022825644,0.830068422,12.29573987,0.738725844,0.131516707
10939,XP_021467792.2,7.422133975,0.156097678,0.779454923,8.910711423,0.5659074,0.247254627
10940,XP_021467794.1,6.459690041,0.013742321,1.482281075,99,0.521243576,0.282959284
10941,XP_021467798.2,5.648210626,0.006212688,0.88696078,99,0.359530045,0.444264811
10942,XP_021467799.1,6.657197177,0.005573333,1.362042169,99,0.474935114,0.32336572
10943,XP_021467807.2,6.862738631,0.007618119,0.988747844,22.83508595,0.986998373,0.005683563
10944,XP_021467811.2,8.418247107,0.012262998,0.896661521,16.410512,0.879835178,0.055598678
10945,XP_021467813.1,9.240142347,0.00932456,1.321293342,52.94093422,0.766961275,0.115226564
10946,XP_021467814.1,5.867738525,0.000588615,0.29937342,99,0.299136774,0.524130194
10947,XP_021467816.1,6.258809873,0.063666157,0.645585603,1.537091228,0.005480366,2.261190437
10948,XP_021467819.1,8.705169634,0.001727447,0.604632494,99,0.326435203,0.486203013
10949,XP_021467821.1,6.811580514,0.003773432,0.840928116,99,0.350765054,0.454983681
10950,XP_021467830.2,6.18746683,0.00918174,1.538756912,99,0.541052159,0.266760866
10951,XP_021467832.2,8.642162549,0.002971608,1.702023021,99,0.611793046,0.213395464
10952,XP_021467834.2,6.303245175,0.003137821,1.52443198,99,0.552780021,0.257447662
10953,XP_021467836.1,7.420119061,0.012813444,0.834162713,12.81271662,0.758640984,0.119963699
10954,XP_021467837.2,6.664916988,0.047185372,0.876391937,15.74569862,0.859279255,0.065865673
10955,XP_021467842.2,7.199161276,0.007147063,1.420448704,99,0.479907442,0.318842515
10956,XP_021467844.1,6.524954055,0.005220452,1.280582711,99,0.44129618,0.355269832
10957,XP_021467848.1,7.716062715,0.002088865,1.366974243,99,0.462701167,0.334699405
10958,XP_021467852.1,6.431884138,0.003602946,1.195350429,99,0.422540353,0.374131809
10959,XP_021467855.1,7.68470914,0.007456392,1.218445795,99,0.416582057,0.38029944
10960,XP_021467856.2,12.19375329,0.002411019,0.657309906,99,0.331831833,0.479081954
10961,XP_021467861.1,7.655870476,0.04961313,0.769048927,7.529591807,0.483643495,0.315474649
10962,XP_021467862.1,7.59438288,0.016935541,1.218061946,39.04502547,0.834673636,0.078483304
10963,XP_021467867.1,7.47941037,0.035145195,0.722245438,5.331133591,0.294863762,0.530378598
10964,XP_021467870.2,7.484163201,0.010061835,0.821693388,11.94276118,0.722390365,0.141228055
10965,XP_021467878.1,9.082503073,0.004467588,1.625958718,88.08076258,0.694519715,0.158315422
10966,XP_021467879.2,5.800902131,0.006192694,1.092122245,99,0.400820755,0.397049798
10967,XP_021467892.1,6.615695193,0.003981922,0.95390004,99,0.36535223,0.437288238
10968,XP_021467897.2,7.719723603,0.002195635,1.571118545,81.83644508,0.702245233,0.1535112
10969,XP_021467903.2,7.294216105,0.287251964,0.666321648,2.781922848,0.058744511,1.231032707
10970,XP_021467905.2,8.634621909,0.000711127,0.656440959,99,0.328812429,0.483051775
10971,XP_021467906.2,7.378310357,0.001002363,0.659965717,99,0.332269685,0.47850928
10972,XP_021467910.1,10.09998607,0.00733153,1.565827555,99,0.566944212,0.246459674
10973,XP_021467911.1,5.874409349,0.103965809,0.653335081,2.042409439,0.019059676,1.719884486
10974,XP_021467918.2,6.249122273,0.013813977,0.86436635,12.92328837,0.772590199,0.112050806
10975,XP_021467921.1,7.876114509,0.006791589,1.660429618,95.21420391,0.683291929,0.165393709
10976,XP_021467924.1,5.764672476,0.005484168,1.636608168,99,0.571359039,0.243090898
10977,XP_021467943.2,6.509791257,0.003971234,1.120750986,99,0.402836647,0.394871028
10978,XP_021467946.2,6.10597305,0.013530045,0.954620081,19.946775,0.962370753,0.016657584
10979,XP_021467952.1,6.604933796,0.016034686,1.628554828,99,0.576771388,0.238996292
10980,XP_021467955.1,7.842471107,0.01177326,0.890761732,16.83753929,0.889589722,0.050810243
10981,XP_021467962.1,8.004341673,0.002886747,1.343879052,99,0.463176616,0.334253375
10982,XP_021467963.1,7.552949821,0.030126306,1.016688284,23.35741616,0.97942995,0.00902662
10983,XP_021467968.1,6.364386858,0.005918329,0.829783322,99,0.348656415,0.45760234
10984,XP_021467969.1,7.339847195,0.007255467,0.984292061,20.38300014,0.971587242,0.012518197
10985,XP_021467971.2,6.997222865,0.007654044,1.281250507,99,0.454888637,0.342094912
10986,XP_021467979.2,12.07218864,0.028939729,0.761452399,8.0530693,0.506401904,0.29550467
10987,XP_021467989.1,6.329308678,0.008671653,1.564589907,99,0.581569433,0.235398428
10988,XP_021467991.2,7.160386875,0.008507056,1.250796134,42.80546952,0.813257442,0.089771954
10989,XP_021467992.1,9.261649157,0.006028487,1.217378867,39.31466014,0.832598384,0.079564436
10990,XP_021467993.1,6.953464017,0.002920794,1.149369623,99,0.413359302,0.383672285
10991,XP_021467997.2,6.384536917,0.011776941,0.912198167,15.69786734,0.864487465,0.0632413
10992,XP_021468000.1,5.857172021,0.009786335,1.420763798,56.32438842,0.766784078,0.115326914
10993,XP_021468002.1,5.932750859,0.024677638,0.853610856,13.13004146,0.775733477,0.110287466
10994,XP_021468007.2,5.743011648,0.004902034,1.604952515,75.38320041,0.725979634,0.139075562
10995,XP_021468012.1,7.320219247,0.092024181,0.725025928,5.177446687,0.288036133,0.540553028
10996,XP_021468013.1,7.011175395,0.005273223,1.010908009,99,0.378237803,0.422235068
10997,XP_021468014.1,8.264428898,0.012329711,1.776727246,99,0.668342975,0.175000612
10998,XP_021468016.1,7.948833873,0.0054456,0.779779064,99,0.34437968,0.462962482
10999,XP_021468017.1,8.426954087,0.0981116,0.741127611,6.275063358,0.379789161,0.420457434
11000,XP_021468027.1,6.147056175,0.029362066,0.995986299,22.10232088,0.998828646,0.000509011
11001,XP_021468031.1,5.838057818,0.002953987,1.302329117,99,0.460978134,0.336319674
11002,XP_021468032.2,6.480673691,0.006571589,1.040673556,24.25466826,0.967069188,0.014542454
11003,XP_021468039.2,8.706145721,0.085003472,0.727803348,5.498397268,0.31311769,0.504292396
11004,XP_021468050.1,8.216166287,0.013777412,0.931898823,17.02169791,0.899441193,0.046027226
11005,XP_021468052.1,11.08545717,0.00333672,1.668530055,99,0.614086907,0.211770162
11006,XP_021468054.1,7.895784135,0.001726739,0.430504544,99,0.310265077,0.508267105
11007,XP_021468056.1,11.96066241,0.053787806,0.688795078,3.868200157,0.150448245,0.822612874
11008,XP_021468057.1,7.124716898,0.006828442,1.131346814,99,0.408701418,0.388593855
11009,XP_021468058.1,5.949587386,0.013624393,0.771945874,8.257795429,0.526091089,0.278939054
11010,XP_021468060.2,8.917623847,0.085463157,0.693673016,3.800839995,0.152212927,0.817548463
11011,XP_021468061.2,5.5946809,0.071742662,0.664038814,2.556892723,0.045869247,1.338478389
11012,XP_021468062.1,5.845202272,0.009858663,1.715907499,92.84708985,0.696615604,0.157006802
11013,XP_021468064.1,9.090218683,0.006900732,1.554138449,74.73579699,0.719834369,0.142767421
11014,XP_021468074.1,7.345662385,0.006714861,1.309241334,99,0.465543732,0.332039516
11015,XP_021468100.1,8.971355821,0.033830178,0.711174078,4.983635751,0.256909564,0.590219728
11016,XP_021468104.2,6.454732943,0.016172046,1.582539422,99,0.554691373,0.255948589
11017,XP_021468109.1,6.271605037,0.006508112,1.163269371,99,0.407629741,0.389734137
11018,XP_021468114.1,9.645757948,0.14033394,1.548470189,99,0.528121422,0.277266216
11019,XP_021468115.2,10.30897659,0.583737589,0.731740642,5.636827444,0.327302419,0.485050785
11020,XP_021468116.2,7.778650831,0.001319999,1.352228317,99,0.478659362,0.319973442
11021,XP_021468117.1,10.08025277,0.013203604,0.684326601,3.558122674,0.124281105,0.905594894
11022,XP_021468124.1,6.339411984,0.00446867,1.542055716,99,0.54985882,0.259748804
11023,XP_021468125.1,8.475828049,0.00203582,0.46042265,99,0.314315934,0.502633602
11024,XP_021468126.1,11.21084793,0.004054916,1.391504169,99,0.46583786,0.331765218
11025,XP_021468128.1,9.402086447,0.000748084,0.433154587,99,0.310720023,0.50763076
11026,XP_021468129.1,8.303713272,0.055606031,0.687745441,3.671135428,0.135933807,0.86667252
11027,XP_021468132.1,7.520578704,0.003437903,1.260135523,99,0.449598979,0.347174684
11028,XP_021468138.2,7.340613261,0.02073399,0.707981401,4.589809289,0.225242575,0.647349516
11029,XP_021468139.1,8.084638342,0.009405491,1.671519125,99,0.606089566,0.217463192
11030,XP_021468143.2,6.545068994,0.003719616,0.924729405,99,0.361164704,0.442294699
11031,XP_021468146.1,7.516768497,0.00841949,0.929573622,19.69100911,0.956226246,0.01943934
11032,XP_021468148.2,5.689667456,0.008428298,1.000665411,21.8919511,0.997724563,0.000989336
11033,XP_021468152.1,5.500649162,0.033140907,0.829860573,12.03316698,0.728990832,0.137277933
11034,XP_021468159.1,7.55243781,0.041987587,0.734463514,5.678581907,0.333351484,0.477097607
11035,XP_021468166.1,5.867345461,0.014155631,0.884576651,15.87107158,0.863974543,0.063499054
11036,XP_021468175.1,6.315231075,0.01201513,1.243211555,45.57219662,0.794974061,0.099647042
11037,XP_021468185.2,7.482284952,0.062458055,0.705142168,4.309647757,0.202110001,0.694412196
11038,XP_021468190.2,8.577152423,0.196742483,0.659030676,2.037917461,0.022458175,1.648625538
11039,XP_021468195.2,7.610946792,0.00670358,1.383558024,99,0.475127493,0.323189839
11040,XP_021468196.1,6.038279112,0.030418056,0.742412482,6.170556387,0.374606209,0.426425029
11041,XP_021468201.1,5.814688846,0.003723498,1.648218246,99,0.592756092,0.227123974
11042,XP_021468204.1,10.54702877,0.00158919,1.259618474,99,0.448276327,0.348454195
11043,XP_021468210.1,7.564611964,0.041429771,0.702410502,4.768703778,0.230819393,0.636727705
11044,XP_021468212.1,8.313321891,0.000853493,0.528455053,99,0.319527698,0.495491489
11045,XP_021468215.1,11.05509007,0.004418725,1.113103474,99,0.395672597,0.402664027
11046,XP_021468220.1,7.709959576,0.052658995,0.698499745,3.911096531,0.166081147,0.779679664
11047,XP_021468228.1,6.373578729,0.00519942,1.61839421,99,0.561812806,0.250408366
11048,XP_021468232.1,6.322683149,0.006690828,1.156425062,99,0.418643141,0.37815602
