Protein,Desert_1,Cold_Montane_1,Cool_Montane_1,Desert_2,Cold_Montane_2,Desert_3,Cool_Montane_2,Cool_Montane_3,Desert_4,Cold_Montane_3,Desert_5,Cool_Montane_4,Desert_6,Desert_7,Cold_Montane_4,Desert_8,Cool_Montane_5,Cool_Montane_6,Desert_15,Cold_Montane_5,Desert_9,Cool_Montane_7,Cool_Montane_8,Desert_10,Cool_Montane_9,Cold_Montane_6,Cool_Montane_10,Desert_11,Cold_Montane_10,Cold_Montane_7,Cold_Montane_8,Cool_Montane_11,Desert_12,Cold_Montane_9,Cold_Montane_14,Cool_Montane_12,Desert_13,Cold_Montane_11,Cold_Montane_12,Cool_Montane_13,Desert_14,Cold_Montane_13
XP_021458917.2,6.081808214,6.747963445,6.829755139,5.844318822,7.690867674,6.048159965,6.167912758,6.512142776,5.848997474,6.725601763,6.025035324,6.712322114,6.020186274,6.45015296,6.789589403,5.811971329,6.509006128,6.343192085,5.482827589,6.838332581,6.300074238,4.891994922,6.506876889,5.933008391,7.117827631,6.999309512,6.47727205,5.964435925,6.879702625,6.983558893,6.670054144,6.942953834,5.734694891,7.060119291,7.093506385,6.773244943,5.471950456,6.474638347,7.447729277,6.556506936,6.682812255,6.579021898
XP_021459167.2,11.65394959,12.80478147,11.78530049,10.55012163,11.92500169,12.49820617,11.34589043,12.11983136,11.26701132,12.84091794,12.29942501,11.46509616,12.18004526,12.15285075,12.29855048,12.39914495,11.68554457,11.74793499,12.04030542,12.0739977,11.32253412,10.16197834,11.91793848,11.70907046,12.51454742,12.8207115,11.19311004,12.29612758,13.22885987,13.00750383,12.27059541,11.36798243,12.18356775,11.91127116,12.56619503,11.76626824,11.92134956,12.19287365,12.24399466,11.68713123,11.64956525,12.42343339
XP_021459445.2,8.907250151,8.254598566,8.914630421,8.495857678,8.157096094,8.508862507,8.288166134,8.038544742,8.578596077,7.934893635,8.355357631,8.207290582,8.620392722,9.024169494,8.043585684,8.565985326,7.787137297,8.415031428,8.43702439,8.153511648,8.892728141,7.504520319,8.176993808,8.643172288,8.310135802,8.554294124,8.452040043,8.500515318,7.429342533,7.524068845,8.183153073,7.591095557,8.04321836,7.997086571,7.856506105,8.310891974,8.755867712,7.266836751,8.022615068,8.16545527,9.080860189,7.403428205
XP_021459997.1,10.07281799,9.659961323,10.49849525,9.899338333,9.734488614,10.61692927,10.00119506,9.96171886,10.12943257,9.489504477,10.18371811,9.782449678,10.11390486,10.55543137,10.2186139,10.17519678,9.886263183,10.13367245,10.34956743,10.25098706,10.47897395,9.466685944,9.655239242,10.24941546,9.932429644,9.868234273,9.889291545,10.44356044,9.471581402,10.0999759,9.806960501,9.819696603,9.80226394,10.21562414,10.02607023,9.489160699,10.37715591,9.323995953,9.704681869,10.19044416,10.54841091,9.633816771
XP_021460638.1,6.46931377,8.573838962,6.470451876,6.603931235,7.677299358,6.413497917,6.405550534,6.705381959,6.535985717,7.587209873,6.56031609,6.857999563,6.699944582,6.464290391,7.497902573,7.009665707,6.892331809,7.412301817,7.191228927,7.14356447,7.235150311,7.251938658,6.890504126,6.862664449,6.608351391,8.051465856,7.229288274,6.736177403,8.277709443,7.903682491,7.720281717,7.151372295,6.477214744,6.390665229,7.822301846,4.891994922,6.770571241,6.320530227,7.283077237,7.298143637,6.382686174,7.472663283
XP_021462509.2,8.485515903,8.187065892,8.372232796,8.279256709,7.914847124,8.725649892,8.454339407,8.618129579,8.230607845,8.454815622,8.405817266,8.419824084,8.321058308,8.395218486,8.378061376,8.592315182,8.457694067,8.53360018,8.701955652,8.245853721,8.669395943,8.405723581,8.530725988,8.451329423,8.437151521,7.776981094,8.472436177,8.473770692,8.629804721,8.127595339,8.002474199,8.560525843,8.220212431,8.021182423,8.045836525,8.525571378,8.203037846,8.413306461,8.231620819,8.211584515,8.87978161,8.247429761
XP_021464508.2,11.24923761,10.8661089,11.17265622,11.08562649,10.93550339,11.46722973,11.09933613,11.28837139,11.45344524,10.71598979,11.05927232,11.21880607,11.19004895,11.65170367,11.21308458,11.34030163,11.23535078,11.39896027,11.49629903,10.95036655,11.86343146,11.21328915,11.40785208,11.44239284,11.42048823,11.43046695,10.99995565,11.61001969,10.39555874,11.04347688,10.98115768,10.88780527,11.38791896,11.19166281,11.25171001,11.09979744,11.70260364,10.95058904,10.95600861,11.28019286,11.77285568,11.12488965
XP_021465179.2,6.66904436,6.116827889,6.851809536,6.933377383,4.891994922,6.794020867,7.728959651,6.351514769,6.988373835,6.13592004,6.654597064,6.339389314,6.61701217,7.000042017,6.528047998,6.673690448,6.41503036,6.99113255,7.384551867,6.539947645,6.761127168,7.504520319,6.531042043,6.876399018,6.479132426,6.55912373,6.196871542,7.793723222,6.382915756,6.399914799,6.829682091,6.885145181,7.05135364,6.390665229,6.033422181,7.486439331,7.18719607,5.376648862,6.185393604,6.465784323,6.886204334,6.050485232
XP_021465185.2,6.199744301,6.994805696,6.528863369,6.314874295,7.356196256,6.282072472,5.923306587,5.932047087,6.70017824,7.461322969,6.402994863,6.227447936,6.731601134,6.478256065,7.441776715,6.630073494,6.41503036,6.595786981,5.921763546,6.976354303,6.42095123,4.891994922,6.364053164,6.335399232,5.964271368,6.55912373,6.892372471,5.964435925,7.29561537,8.159907501,7.441464403,6.908583506,6.253962662,5.742225496,6.879489407,5.665432517,5.686715774,7.053071801,7.012038248,6.212698382,6.652976956,6.794727428
XP_021465239.1,11.2901644,10.80527746,11.2039904,11.03885801,10.49502844,11.10254167,11.31737688,11.33505819,11.41159124,10.82849673,11.15568571,11.04621886,11.05406597,11.44974932,11.14850572,11.13394199,10.93347484,11.06288392,11.71498565,11.02491476,11.54603425,10.62892977,10.8152358,11.51607136,10.76447105,10.59864072,10.64253095,11.49616789,10.56741482,10.7019578,10.82605519,11.07617053,11.08701237,10.75531963,10.72953727,10.9968799,11.93628651,10.50864669,10.83744956,11.01073216,11.54338589,10.65732889
XP_021465264.1,9.675932736,9.880319176,9.730549469,9.598368961,9.516465281,10.38827602,9.83376835,9.355347136,9.717769454,9.408610051,9.567685609,9.354138586,9.464617859,9.861401701,9.539535934,9.81041618,9.349889451,9.579700826,10.37449041,9.479977975,9.781319929,9.180448015,9.674814584,9.974719288,9.598327524,9.541602768,9.357218901,10.13979245,9.316745457,9.723841822,9.630500766,9.261165439,9.643182067,9.232120188,9.543086248,9.253700079,9.872236579,9.881917202,9.112030443,9.671210913,10.37215063,9.37276081
XP_021465313.2,5.389153846,4.891994922,6.663375868,6.027872769,4.891994922,4.891994922,5.674338205,5.235971754,6.750319662,5.171491217,6.54385068,5.670493924,6.105754724,5.828810268,5.286538381,6.23747547,5.520698361,5.927623776,6.925609528,5.669067983,6.079756225,4.891994922,6.183791895,6.593970313,5.50078137,6.02050049,5.892204677,5.92410002,4.891994922,5.162139596,5.550289088,5.64041623,6.872461549,5.926161063,5.244318622,6.875615493,5.834536438,4.891994922,4.891994922,5.594493975,6.150004827,5.267205765
XP_021467326.1,6.962574071,6.718917872,7.659257993,7.032312428,7.06880197,6.972339188,8.047649226,7.239001863,7.300912618,7.403603103,6.912796165,7.390621864,7.218924396,6.94434833,6.894955166,7.073690103,7.415308967,7.437428215,6.82623353,6.902925747,7.293509025,6.940075191,7.527886014,6.813382602,7.197165986,6.819418137,7.424877109,7.17442311,7.29561537,6.983558893,6.818934807,7.497519544,6.977703885,7.035747276,6.969394808,7.595581433,6.591595701,7.525598407,7.211127153,6.929594337,7.225625042,7.253330531
XP_021467338.2,8.023250125,7.398636571,8.449043528,8.112650505,8.736796972,8.391926123,8.440010921,8.24427483,8.140133954,7.569918393,8.066720996,8.196328856,8.215839495,8.792210041,7.569323861,8.831914766,8.465564203,8.233931185,7.71752586,7.459056118,9.117408118,7.61517717,8.023453351,8.54542789,8.290312864,7.526451468,8.187463642,8.59035347,7.833676677,7.181839603,7.575795388,8.018826269,7.947672265,6.985588698,7.637390902,7.605086407,7.695914889,7.630263881,7.317653342,7.618025221,7.897352426,8.055927691
XP_021468620.2,6.687301276,5.952864423,7.260705531,6.330450294,6.293645639,7.471676957,6.247983821,6.556268337,6.344954894,4.891994922,6.937133458,6.063222712,6.959569532,6.45015296,6.31451597,6.69492569,6.427208109,6.928705545,7.807267993,6.252797025,6.826347287,4.891994922,7.148346538,7.066501253,6.498487575,6.246808778,6.625328744,6.592343409,5.48628859,6.379372905,4.891994922,5.993293089,6.314148364,5.742225496,5.499262,6.245162715,6.3008422,5.989844154,5.754464952,7.364719394,7.050482717,5.680337662
